"X","B","Y","U2"
19,18.5,20.25,8
26,25,14.5,11
21,23.5,22.75,12
9,19.5,22.75,14
8,7,5.5,2
27,16.5,15.25,2
9,19.5,13.75,14
24,21,16.5,8
21,18.5,21.25,7
10,9,7.5,3
17,22.5,13.25,13
26,25,16.5,11
14,17,12.5,9
7,13.5,19.75,9
17,18.5,20.25,9
15,17.5,23.75,9
5,13.5,18.75,10
29,17.5,16.75,2
18,11,10.5,1
19,18.5,21.25,8
18,22,24,12
23,23.5,23.75,11
4,7,7.5,4
19,11.5,11.75,1
18,24,24,14
16,14,16,5
13,8.5,13.25,1
25,21.5,16.75,8
27,18.5,13.25,4
16,14,20,5
11,9.5,14.75,3
17,17.5,13.75,8
20,14,9,3
16,20,15,11
18,15,18.5,5
16,21,11.5,12
13,20.5,15.25,13
17,18.5,16.25,9
11,15.5,18.75,9
21,18.5,10.25,7
9,7.5,4.75,2
11,7.5,6.75,1
14,16,18,8
18,25,23.5,15
22,25,27.5,13
17,10.5,7.25,1
21,25.5,19.75,14
6,16,22,12
14,16,22,8
17,20.5,15.25,11
14,20,16,12
16,17,16.5,8
15,17.5,9.75,9
8,20,17,15
26,15,13.5,1
19,25.5,16.75,15
11,14.5,20.25,8
17,19.5,13.75,10
19,22.5,16.25,12
20,13,11.5,2
23,15.5,16.75,3
11,11.5,14.75,5
21,15.5,14.75,4
18,16,18,6
8,9,13.5,4
7,11.5,18.75,7
17,13.5,7.75,4
22,19,15.5,7
3,3.5,6.75,1
14,23,14.5,15
9,12.5,19.25,7
11,9.5,5.75,3
17,17.5,10.75,8
15,22.5,21.25,14
10,20,13,14
22,25,21.5,13
20,13,7.5,2
13,12.5,7.25,5
5,12.5,7.25,9
11,21.5,19.75,15
6,13,19.5,9
15,11.5,18.75,3
22,27,23.5,15
15,21.5,18.75,13
25,21.5,17.75,8
18,21,11.5,11
11,21.5,24.75,15
9,17.5,21.75,12
23,16.5,12.25,4
21,13.5,20.75,2
11,20.5,15.25,14
12,13,19.5,6
21,24.5,18.25,13
18,24,21,14
9,16.5,14.25,11
6,13,13.5,9
18,20,19,10
8,13,15.5,8
18,22,22,12
22,24,25,12
20,20,20,9
16,15,12.5,6
15,13.5,14.75,5
21,16.5,19.25,5
23,25.5,23.75,13
13,8.5,6.25,1
14,20,25,12
15,9.5,7.75,1
10,10,8,4
16,18,10,9
9,7.5,14.75,2
8,7,14.5,2
20,24,21,13
6,14,22,10
16,14,13,5
15,20.5,15.25,12
19,24.5,23.25,14
11,13.5,10.75,7
20,26,19,15
7,12.5,8.25,8
19,16.5,16.25,6
24,24,23,11
6,10,16,6
15,10.5,8.25,2
13,15.5,20.75,8
18,11,14.5,1
10,20,12,14
21,13.5,7.75,2
15,9.5,6.75,1
19,17.5,14.75,7
17,12.5,19.25,3
16,14,15,5
28,16,9,1
17,19.5,15.75,10
23,20.5,23.25,8
6,8,17,4
5,18.5,20.25,15
16,20,16,11
11,8.5,18.25,2
26,28,27,14
16,17,17.5,8
13,9.5,15.75,2
25,20.5,15.25,7
13,13.5,12.75,6
19,15.5,11.75,5
13,13.5,10.75,6
25,20.5,13.25,7
5,8.5,10.25,5
16,24,13,15
25,28.5,17.25,15
3,4.5,9.25,2
26,23,21.5,9
20,19,17.5,8
22,15,12.5,3
14,12,11,4
30,24,22,8
18,21,12.5,11
23,17.5,21.75,5
14,18,11,10
12,16,12,9
11,9.5,9.75,3
12,21,25.5,14
10,21,12.5,15
14,21,23.5,13
15,15.5,9.75,7
15,9.5,7.75,1
18,16,22,6
12,12,21,5
7,16.5,11.25,12
8,15,16.5,10
23,14.5,20.25,2
13,10.5,12.25,3
12,15,19.5,8
19,16.5,19.25,6
25,15.5,17.75,2
14,14,18,6
11,10.5,13.25,4
26,24,19,10
15,10.5,19.25,2
17,19.5,11.75,10
13,19.5,13.75,12
18,21,11.5,11
13,20.5,25.25,13
24,24,13,11
17,13.5,7.75,4
14,23,16.5,15
19,12.5,15.25,2
4,16,9,13
23,13.5,20.75,1
22,17,13.5,5
26,24,17,10
15,9.5,14.75,1
14,18,12,10
19,21.5,12.75,11
21,12.5,20.25,1
11,8.5,6.25,2
19,16.5,13.25,6
4,16,15,13
12,17,17.5,10
22,19,18.5,7
23,25.5,14.75,13
25,15.5,9.75,2
18,22,12,12
26,26,22,12
25,26.5,20.25,13
10,10,6,4
15,19.5,16.75,11
14,9,13.5,1
10,15,13.5,9
20,21,17.5,10
21,24.5,20.25,13
16,15,21.5,6
15,17.5,20.75,9
9,12.5,11.25,7
26,17,9.5,3
22,23,21.5,11
23,15.5,9.75,3
8,17,10.5,12
11,17.5,16.75,11
15,11.5,19.75,3
20,24,15,13
8,13,7.5,8
7,19.5,14.75,15
15,18.5,12.25,10
22,27,19.5,15
19,14.5,9.25,4
16,16,22,7
17,22.5,14.25,13
13,12.5,8.25,5
18,12,14,2
19,17.5,21.75,7
17,21.5,12.75,12
19,20.5,12.25,10
10,17,9.5,11
22,24,15,12
25,26.5,27.25,13
22,13,19.5,1
11,9.5,16.75,3
22,26,26,14
19,17.5,9.75,7
8,19,19.5,14
20,26,21,15
15,22.5,13.25,14
13,12.5,18.25,5
15,16.5,15.25,8
9,18.5,18.25,13
7,18.5,23.25,14
27,20.5,20.25,6
21,21.5,24.75,10
9,6.5,17.25,1
23,24.5,14.25,12
22,17,18.5,5
10,7,18.5,1
6,7,14.5,3
17,10.5,17.25,1
4,12,13,9
18,15,16.5,5
13,18.5,23.25,11
15,18.5,15.25,10
22,13,8.5,1
16,18,22,9
13,22.5,23.25,15
24,26,20,13
15,10.5,18.25,2
23,24.5,14.25,12
8,6,4,1
13,19.5,24.75,12
16,15,10.5,6
6,13,16.5,9
13,8.5,14.25,1
7,7.5,12.75,3
22,27,15.5,15
6,14,15,10
18,21,13.5,11
24,28,17,15
16,17,13.5,8
27,22.5,23.25,8
12,17,22.5,10
17,23.5,20.75,14
11,11.5,11.75,5
15,10.5,19.25,2
28,24,20,9
5,16.5,19.25,13
11,21.5,22.75,15
22,13,19.5,1
13,13.5,9.75,6
16,22,25,13
11,16.5,14.25,10
23,25.5,14.75,13
12,18,14,11
23,25.5,21.75,13
6,13,8.5,9
12,14,17,7
19,20.5,21.25,10
13,8.5,19.25,1
15,19.5,21.75,11
16,24,26,15
5,14.5,12.25,11
7,18.5,10.25,14
21,16.5,19.25,5
14,21,19.5,13
24,14,16,1
20,23,22.5,12
22,14,13,2
5,12.5,16.25,9
19,18.5,10.25,8
19,19.5,18.75,9
15,20.5,24.25,12
24,27,28.5,14
24,20,15,7
17,11.5,18.75,2
19,15.5,15.75,5
4,6,10,3
23,13.5,10.75,1
10,13,13.5,7
15,19.5,17.75,11
18,25,15.5,15
25,22.5,20.25,9
17,13.5,21.75,4
11,20.5,14.25,14
11,21.5,24.75,15
14,18,21,10
18,16,15,6
22,18,21,6
18,11,15.5,1
20,17,17.5,6
26,19,18.5,5
11,15.5,21.75,9
6,10,7,6
16,21,12.5,12
19,21.5,14.75,11
19,15.5,12.75,5
8,14,11,9
21,14.5,17.25,3
13,21.5,15.75,14
13,14.5,16.25,7
9,19.5,12.75,14
19,19.5,19.75,9
13,9.5,18.75,2
16,16,9,7
10,21,16.5,15
18,25,15.5,15
23,20.5,21.25,8
15,21.5,19.75,13
25,17.5,20.75,4
11,12.5,15.25,6
8,20,22,15
7,19.5,21.75,15
23,13.5,15.75,1
17,10.5,16.25,1
16,12,21,3
3,11.5,18.75,9
8,9,15.5,4
16,17,9.5,8
15,22.5,19.25,14
13,14.5,15.25,7
12,21,12.5,14
22,19,14.5,7
4,12,8,9
15,17.5,11.75,9
7,8.5,9.25,4
28,19,15.5,4
15,21.5,24.75,13
25,21.5,15.75,8
4,16,14,13
25,25.5,15.75,12
14,20,17,12
19,25.5,24.75,15
17,16.5,16.25,7
26,20,24,6
6,10,12,6
19,20.5,13.25,10
25,15.5,14.75,2
24,21,23.5,8
26,19,14.5,5
19,25.5,18.75,15
17,15.5,19.75,6
21,19.5,19.75,8
14,20,15,12
15,16.5,21.25,8
10,21,11.5,15
15,12.5,20.25,4
11,9.5,17.75,3
27,20.5,25.25,6
19,19.5,23.75,9
11,13.5,14.75,7
21,16.5,14.25,5
20,18,18,7
15,17.5,15.75,9
20,21,20.5,10
3,8.5,18.25,6
14,23,19.5,15
15,10.5,10.25,2
10,15,9.5,9
14,22,18,14
18,18,16,8
21,13.5,20.75,2
26,21,21.5,7
16,20,12,11
15,15.5,10.75,7
19,11.5,14.75,1
22,19,21.5,7
14,15,14.5,7
21,24.5,23.25,13
12,20,17,13
19,18.5,12.25,8
7,14.5,21.25,10
10,9,13.5,3
21,26.5,16.25,15
7,13.5,7.75,9
15,19.5,10.75,11
13,15.5,13.75,8
14,16,13,8
16,17,12.5,8
22,16,11,4
13,11.5,12.75,4
14,22,14,14
19,17.5,14.75,7
17,13.5,7.75,4
14,11,15.5,3
22,26,28,14
5,4.5,13.25,1
19,20.5,17.25,10
10,8,8,2
20,21,13.5,10
12,16,17,9
14,9,14.5,1
16,24,25,15
30,22,14,6
16,24,22,15
12,15,21.5,8
27,21.5,25.75,7
17,24.5,22.25,15
22,24,26,12
7,10.5,17.25,6
13,15.5,16.75,8
28,17,11.5,2
23,22.5,23.25,10
8,15,15.5,10
22,15,15.5,3
18,22,24,12
7,14.5,12.25,10
17,21.5,25.75,12
16,11,15.5,2
19,14.5,18.25,4
13,14.5,16.25,7
9,11.5,14.75,6
18,18,22,8
7,6.5,17.25,2
23,27.5,20.75,15
17,16.5,13.25,7
10,10,9,4
14,11,20.5,3
13,9.5,12.75,2
20,16,10,5
19,20.5,14.25,10
13,17.5,11.75,10
11,17.5,10.75,11
20,15,16.5,4
5,14.5,17.25,11
23,26.5,20.25,14
15,11.5,15.75,3
18,18,23,8
9,16.5,20.25,11
18,14,19,4
17,19.5,21.75,10
9,6.5,7.25,1
17,15.5,21.75,6
18,19,23.5,9
28,19,23.5,4
2,3,10.5,1
25,20.5,23.25,7
9,12.5,12.25,7
18,23,12.5,13
14,12,17,4
16,14,10,5
10,17,17.5,11
11,9.5,17.75,3
7,17.5,11.75,13
14,11,17.5,3
29,28.5,26.25,13
10,7,7.5,1
16,13,15.5,4
14,12,10,4
22,19,11.5,7
7,14.5,14.25,10
14,16,14,8
11,13.5,8.75,7
14,23,25.5,15
3,8.5,18.25,6
7,5.5,13.75,1
5,17.5,13.75,14
13,13.5,17.75,6
12,16,19,9
23,17.5,22.75,5
18,23,24.5,13
11,21.5,20.75,15
26,24,15,10
9,12.5,17.25,7
8,10,15,5
3,4.5,3.25,2
6,19,10.5,15
18,12,16,2
13,14.5,9.25,7
25,21.5,20.75,8
23,18.5,10.25,6
14,18,20,10
13,10.5,16.25,3
22,16,12,4
16,13,12.5,4
28,23,24.5,8
16,24,13,15
22,20,12,8
3,10.5,9.25,8
15,14.5,18.25,6
22,23,13.5,11
12,11,7.5,4
19,21.5,19.75,11
18,17,14.5,7
14,13,8.5,5
20,13,14.5,2
13,11.5,18.75,4
16,17,11.5,8
11,17.5,15.75,11
28,24,24,9
21,20.5,24.25,9
15,20.5,15.25,12
20,13,13.5,2
25,14.5,21.25,1
17,20.5,19.25,11
23,25.5,13.75,13
8,18,18,13
24,25,26.5,12
8,8,14,3
13,19.5,16.75,12
14,16,14,8
13,17.5,15.75,10
15,19.5,11.75,11
23,25.5,22.75,13
7,12.5,18.25,8
12,13,15.5,6
10,16,12,10
21,26.5,15.25,15
11,8.5,13.25,2
12,17,12.5,10
19,14.5,13.25,4
25,27.5,25.75,14
10,13,10.5,7
24,21,20.5,8
28,29,27.5,14
27,21.5,21.75,7
21,13.5,13.75,2
11,20.5,20.25,14
8,15,13.5,10
11,13.5,20.75,7
16,17,23.5,8
25,25.5,14.75,12
13,19.5,14.75,12
24,25,19.5,12
16,14,11,5
10,16,19,10
26,21,23.5,7
13,18.5,22.25,11
15,20.5,18.25,12
18,25,22.5,15
17,20.5,11.25,11
13,9.5,12.75,2
13,22.5,14.25,15
12,14,14,7
7,7.5,4.75,3
2,4,3,2
16,19,13.5,10
2,11,18.5,9
20,24,22,13
16,21,16.5,12
16,24,13,15
17,22.5,19.25,13
7,11.5,11.75,7
6,11,18.5,7
9,18.5,19.25,13
18,12,12,2
19,25.5,26.75,15
12,14,13,7
15,17.5,12.75,9
19,18.5,11.25,8
10,19,20.5,13
19,16.5,14.25,6
14,9,18.5,1
3,9.5,5.75,7
9,13.5,20.75,8
20,23,20.5,12
12,10,12,3
7,10.5,14.25,6
9,19.5,17.75,14
15,16.5,23.25,8
22,26,27,14
15,9.5,12.75,1
15,16.5,17.25,8
14,17,22.5,9
9,10.5,20.25,5
26,21,22.5,7
7,12.5,9.25,8
3,9.5,9.75,7
26,19,12.5,5
4,15,15.5,12
27,25.5,27.75,11
17,14.5,14.25,5
17,23.5,23.75,14
15,10.5,9.25,2
14,11,10.5,3
12,19,23.5,12
15,17.5,18.75,9
12,19,21.5,12
17,17.5,10.75,8
12,11,12.5,4
6,19,17.5,15
15,19.5,23.75,11
17,11.5,6.75,2
16,10,13,1
22,26,19,14
27,28.5,19.25,14
26,15,21.5,1
7,13.5,10.75,9
8,19,16.5,14
10,8,17,2
21,12.5,12.25,1
21,16.5,17.25,5
19,18.5,18.25,8
16,24,19,15
25,15.5,17.75,2
5,13.5,12.75,10
12,22,13,15
4,10,17,7
18,15,11.5,5
11,13.5,15.75,7
8,10,14,5
9,16.5,22.25,11
18,16,9,6
28,19,13.5,4
12,19,18.5,12
14,23,16.5,15
17,21.5,16.75,12
4,16,19,13
16,19,11.5,10
20,22,17,11
17,18.5,21.25,9
20,16,23,5
26,17,13.5,3
3,13.5,18.75,11
8,18,12,13
21,21.5,12.75,10
21,20.5,15.25,9
17,16.5,17.25,7
20,21,12.5,10
13,18.5,13.25,11
16,21,23.5,12
3,11.5,10.75,9
10,14,19,8
6,9,12.5,5
10,13,16.5,7
5,7.5,17.75,4
18,15,21.5,5
14,14,12,6
29,26.5,26.25,11
23,26.5,26.25,14
17,24.5,21.25,15
16,22,16,13
8,20,22,15
25,20.5,23.25,7
14,12,11,4
17,20.5,15.25,11
15,19.5,18.75,11
19,25.5,13.75,15
26,18,15,4
13,13.5,7.75,6
11,11.5,16.75,5
25,26.5,27.25,13
19,25.5,21.75,15
19,25.5,27.75,15
9,13.5,7.75,8
27,24.5,24.25,10
16,14,20,5
11,16.5,23.25,10
15,22.5,13.25,14
8,20,11,15
7,8.5,6.25,4
25,21.5,18.75,8
24,21,23.5,8
16,16,10,7
25,20.5,11.25,7
17,21.5,21.75,12
19,23.5,21.75,13
26,24,23,10
8,6,10,1
8,11,16.5,6
17,20.5,14.25,11
19,14.5,12.25,4
7,18.5,10.25,14
16,12,14,3
25,20.5,14.25,7
15,10.5,18.25,2
22,13,10.5,1
20,25,20.5,14
12,8,13,1
17,21.5,24.75,12
21,22.5,25.25,11
25,16.5,22.25,3
30,18,10,2
26,21,12.5,7
19,21.5,14.75,11
8,8,17,3
13,19.5,23.75,12
17,14.5,9.25,5
14,17,18.5,9
15,15.5,17.75,7
15,19.5,18.75,11
13,22.5,24.25,15
22,24,14,12
13,10.5,20.25,3
17,11.5,10.75,2
14,10,18,2
15,17.5,18.75,9
16,12,13,3
20,16,23,5
13,16.5,23.25,9
27,20.5,21.25,6
22,13,9.5,1
18,24,24,14
8,9,14.5,4
11,17.5,13.75,11
12,11,7.5,4
14,16,22,8
16,24,26,15
17,22.5,21.25,13
13,11.5,15.75,4
15,19.5,13.75,11
21,18.5,17.25,7
10,15,18.5,9
17,24.5,14.25,15
25,26.5,21.25,13
27,19.5,22.75,5
13,15.5,21.75,8
20,25,14.5,14
21,22.5,12.25,11
3,9.5,13.75,7
20,13,9.5,2
20,18,10,7
22,15,21.5,3
15,11.5,11.75,3
5,14.5,10.25,11
22,16,22,4
15,9.5,19.75,1
13,8.5,6.25,1
11,17.5,20.75,11
16,20,12,11
12,8,5,1
15,18.5,15.25,10
12,13,12.5,6
24,20,12,7
22,13,9.5,1
21,23.5,23.75,12
24,19,18.5,6
18,16,9,6
9,11.5,10.75,6
21,16.5,18.25,5
22,27,27.5,15
20,25,24.5,14
23,27.5,18.75,15
18,23,18.5,13
6,8,11,4
17,18.5,18.25,9
28,27,18.5,12
14,12,14,4
10,9,9.5,3
15,16.5,21.25,8
15,23.5,17.75,15
20,17,15.5,6
9,12.5,16.25,7
15,21.5,12.75,13
18,12,20,2
9,9.5,6.75,4
18,20,19,10
23,15.5,15.75,3
18,21,20.5,11
18,22,20,12
23,13.5,7.75,1
15,10.5,17.25,2
16,14,21,5
16,23,14.5,14
20,25,15.5,14
26,25,22.5,11
16,10,17,1
29,29.5,16.75,14
18,12,7,2
16,18,22,9
19,17.5,21.75,7
18,21,24.5,11
16,11,7.5,2
15,12.5,7.25,4
23,23.5,23.75,11
15,21.5,19.75,13
12,8,12,1
22,19,21.5,7
9,19.5,20.75,14
14,21,21.5,13
15,21.5,22.75,13
15,11.5,7.75,3
24,15,15.5,2
22,13,18.5,1
7,7.5,18.75,3
18,14,17,4
15,9.5,17.75,1
11,18.5,12.25,12
23,13.5,19.75,1
25,25.5,14.75,12
21,17.5,18.75,6
13,22.5,22.25,15
10,14,11,8
22,24,13,12
17,23.5,18.75,14
22,23,21.5,11
28,27,16.5,12
11,21.5,18.75,15
21,16.5,20.25,5
27,18.5,17.25,4
28,29,23.5,14
5,8.5,13.25,5
17,14.5,19.25,5
17,11.5,17.75,2
27,25.5,27.75,11
10,19,22.5,13
27,20.5,19.25,6
26,16,14,2
22,20,14,8
19,17.5,16.75,7
16,19,19.5,10
11,11.5,10.75,5
20,26,16,15
16,22,14,13
17,15.5,9.75,6
16,21,12.5,12
16,19,20.5,10
13,19.5,24.75,12
15,13.5,18.75,5
28,19,17.5,4
22,15,9.5,3
18,11,7.5,1
10,10,9,4
21,17.5,12.75,6
12,21,12.5,14
12,9,17.5,2
7,19.5,12.75,15
14,22,26,14
18,13,12.5,3
13,12.5,13.25,5
26,29,26.5,15
14,22,12,14
21,25.5,22.75,14
26,21,20.5,7
14,22,24,14
11,19.5,11.75,13
19,23.5,14.75,13
8,19,20.5,14
19,22.5,25.25,12
3,15.5,12.75,13
8,19,13.5,14
17,10.5,17.25,1
17,18.5,15.25,9
15,16.5,21.25,8
18,18,24,8
22,14,14,2
17,23.5,16.75,14
11,17.5,9.75,11
13,18.5,15.25,11
15,9.5,12.75,1
12,18,14,11
19,15.5,19.75,5
17,24.5,13.25,15
6,15,16.5,11
9,8.5,7.25,3
26,25,22.5,11
20,19,19.5,8
27,24.5,13.25,10
12,10,17,3
22,26,25,14
12,14,14,7
16,23,12.5,14
27,26.5,24.25,12
23,13.5,14.75,1
24,27,21.5,14
25,20.5,13.25,7
25,21.5,23.75,8
16,17,17.5,8
16,12,17,3
17,13.5,18.75,4
24,22,12,9
23,26.5,27.25,14
19,12.5,19.25,2
16,18,12,9
16,20,18,11
18,21,12.5,11
10,9,14.5,3
6,16,19,12
3,17.5,23.75,15
15,13.5,8.75,5
19,18.5,21.25,8
11,9.5,17.75,3
23,22.5,22.25,10
23,15.5,12.75,3
15,11.5,7.75,3
23,14.5,16.25,2
16,22,14,13
26,18,14,4
17,22.5,14.25,13
16,18,21,9
5,10.5,16.25,7
18,16,17,6
22,25,15.5,13
9,7.5,17.75,2
18,24,14,14
8,17,21.5,12
21,12.5,9.25,1
26,21,22.5,7
18,14,20,4
20,25,19.5,14
26,20,16,6
17,10.5,12.25,1
24,22,22,9
17,22.5,15.25,13
19,16.5,13.25,6
19,17.5,9.75,7
20,14,10,3
16,19,11.5,10
10,10,20,4
17,22.5,20.25,13
14,9,16.5,1
16,21,13.5,12
10,15,18.5,9
8,18,18,13
16,22,14,13
12,10,6,3
15,17.5,9.75,9
11,16.5,21.25,10
24,14,16,1
23,15.5,21.75,3
15,19.5,24.75,11
21,21.5,22.75,10
14,10,7,2
12,21,11.5,14
17,12.5,18.25,3
13,14.5,8.25,7
29,22.5,22.25,7
19,16.5,10.25,6
10,9,12.5,3
23,16.5,13.25,4
28,28,19,13
15,10.5,14.25,2
20,23,12.5,12
20,20,19,9
24,27,15.5,14
19,11.5,9.75,1
20,15,14.5,4
13,14.5,21.25,7
25,15.5,15.75,2
23,19.5,13.75,7
6,17,21.5,13
13,15.5,20.75,8
19,25.5,13.75,15
26,29,27.5,15
24,24,22,11
12,18,14,11
13,22.5,12.25,15
23,24.5,15.25,12
15,23.5,19.75,15
12,8,13,1
8,16,16,11
17,19.5,22.75,10
14,21,15.5,13
22,22,25,10
10,19,20.5,13
17,19.5,24.75,10
23,17.5,21.75,5
15,14.5,16.25,6
17,10.5,15.25,1
24,27,18.5,14
6,9,11.5,5
14,10,18,2
14,23,25.5,15
18,12,14,2
17,17.5,10.75,8
14,14,20,6
14,16,14,8
8,9,17.5,4
16,15,12.5,6
16,14,20,5
15,23.5,21.75,15
23,18.5,15.25,6
16,10,6,1
19,11.5,12.75,1
14,14,13,6
15,18.5,17.25,10
21,24.5,16.25,13
17,23.5,16.75,14
7,5.5,4.75,1
12,9,13.5,2
19,24.5,19.25,14
15,17.5,10.75,9
19,13.5,8.75,3
15,15.5,12.75,7
4,15,16.5,12
18,22,19,12
3,12.5,7.25,10
29,16.5,12.25,1
13,17.5,20.75,10
16,23,22.5,14
11,17.5,17.75,11
22,15,9.5,3
24,14,12,1
18,25,15.5,15
17,21.5,12.75,12
13,13.5,11.75,6
14,20,14,12
22,27,19.5,15
15,20.5,20.25,12
16,17,12.5,8
21,15.5,18.75,4
16,18,13,9
22,27,23.5,15
7,9.5,9.75,5
21,22.5,14.25,11
15,16.5,23.25,8
26,25,19.5,11
13,13.5,15.75,6
14,21,11.5,13
19,24.5,18.25,14
21,23.5,18.75,12
16,17,19.5,8
21,23.5,21.75,12
16,13,10.5,4
15,15.5,20.75,7
24,17,9.5,4
15,23.5,24.75,15
13,22.5,19.25,15
7,5.5,16.75,1
12,12,10,5
8,15,10.5,10
27,26.5,15.25,12
19,23.5,23.75,13
11,13.5,16.75,7
12,9,14.5,2
24,15,12.5,2
19,25.5,25.75,15
18,20,21,10
5,11.5,12.75,8
26,26,27,12
6,14,15,10
16,24,15,15
26,16,23,2
9,19.5,22.75,14
21,24.5,21.25,13
21,25.5,25.75,14
17,16.5,16.25,7
26,21,17.5,7
28,23,16.5,8
13,21.5,17.75,14
9,9.5,5.75,4
21,17.5,19.75,6
3,11.5,18.75,9
16,23,16.5,14
24,14,9,1
27,20.5,16.25,6
29,20.5,13.25,5
19,11.5,7.75,1
28,16,16,1
23,26.5,22.25,14
16,20,15,11
17,17.5,17.75,8
5,14.5,11.25,11
16,15,9.5,6
18,21,12.5,11
19,19.5,15.75,9
13,12.5,20.25,5
27,22.5,17.25,8
22,17,14.5,5
24,21,19.5,8
23,20.5,18.25,8
13,9.5,11.75,2
13,19.5,12.75,12
14,16,23,8
22,15,11.5,3
6,11,18.5,7
17,12.5,10.25,3
15,14.5,17.25,6
11,21.5,21.75,15
12,21,19.5,14
19,16.5,19.25,6
22,20,11,8
7,17.5,13.75,13
9,19.5,24.75,14
10,16,18,10
19,14.5,17.25,4
24,19,23.5,6
10,17,18.5,11
11,21.5,15.75,15
17,23.5,23.75,14
21,23.5,12.75,12
16,19,24.5,10
27,17.5,13.75,3
16,14,10,5
15,22.5,20.25,14
27,23.5,24.75,9
10,17,10.5,11
19,11.5,14.75,1
16,13,12.5,4
13,16.5,18.25,9
20,18,17,7
17,18.5,17.25,9
15,20.5,14.25,12
13,21.5,23.75,14
7,12.5,17.25,8
21,24.5,17.25,13
23,17.5,9.75,5
22,27,25.5,15
21,23.5,13.75,12
17,13.5,7.75,4
5,16.5,12.25,13
6,10,18,6
25,14.5,17.25,1
12,9,6.5,2
16,19,10.5,10
15,23.5,19.75,15
22,16,9,4
14,14,9,6
15,17.5,16.75,9
27,16.5,15.25,2
19,21.5,20.75,11
17,14.5,13.25,5
17,19.5,13.75,10
16,11,6.5,2
18,25,21.5,15
19,18.5,23.25,8
5,8.5,9.25,5
11,10.5,6.25,4
15,12.5,10.25,4
3,16.5,18.25,14
15,10.5,13.25,2
5,8.5,7.25,5
11,9.5,16.75,3
12,9,18.5,2
11,10.5,11.25,4
13,14.5,21.25,7
17,22.5,13.25,13
14,21,12.5,13
18,13,15.5,3
7,10.5,6.25,6
14,18,20,10
13,17.5,18.75,10
15,16.5,12.25,8
19,16.5,20.25,6
17,10.5,20.25,1
21,24.5,24.25,13
19,22.5,20.25,12
11,19.5,17.75,13
22,18,22,6
17,19.5,16.75,10
14,23,13.5,15
9,9.5,7.75,4
13,9.5,16.75,2
15,14.5,12.25,6
9,11.5,9.75,6
25,16.5,9.25,3
25,24.5,16.25,11
28,27,22.5,12
24,20,25,7
17,14.5,22.25,5
5,13.5,14.75,10
26,17,16.5,3
22,24,19,12
10,12,15,6
12,12,18,5
26,15,22.5,1
6,16,20,12
12,19,13.5,12
17,10.5,9.25,1
15,23.5,12.75,15
20,20,19,9
16,19,19.5,10
12,17,12.5,10
19,23.5,13.75,13
11,7.5,6.75,1
13,19.5,22.75,12
18,15,19.5,5
25,21.5,22.75,8
24,25,16.5,12
23,25.5,18.75,13
15,18.5,13.25,10
11,12.5,21.25,6
5,12.5,10.25,9
15,23.5,22.75,15
8,15,14.5,10
27,27.5,21.75,13
7,18.5,16.25,14
13,14.5,21.25,7
16,12,19,3
14,21,13.5,13
18,11,14.5,1
15,18.5,19.25,10
19,12.5,13.25,2
10,15,21.5,9
20,15,11.5,4
11,17.5,11.75,11
22,22,21,10
22,20,19,8
23,25.5,20.75,13
20,15,21.5,4
11,19.5,11.75,13
17,11.5,12.75,2
9,12.5,21.25,7
7,7.5,7.75,3
22,26,25,14
19,22.5,26.25,12
12,17,20.5,10
6,17,16.5,13
29,27.5,22.75,12
25,18.5,15.25,5
15,20.5,15.25,12
19,21.5,11.75,11
10,20,17,14
13,11.5,6.75,4
15,19.5,19.75,11
18,23,20.5,13
26,27,14.5,13
22,23,21.5,11
22,17,14.5,5
24,28,27,15
10,19,15.5,13
11,18.5,21.25,12
8,15,12.5,10
12,20,20,13
16,22,18,13
6,12,16,8
11,15.5,16.75,9
9,9.5,10.75,4
10,12,18,6
5,4.5,4.25,1
11,14.5,22.25,8
14,17,17.5,9
19,16.5,22.25,6
13,11.5,18.75,4
16,24,27,15
16,16,14,7
15,22.5,19.25,14
15,11.5,9.75,3
21,24.5,26.25,13
4,10,20,7
20,18,16,7
17,24.5,27.25,15
6,18,24,14
14,12,11,4
11,16.5,19.25,10
8,8,16,3
20,18,20,7
29,27.5,19.75,12
21,24.5,25.25,13
16,18,13,9
10,21,19.5,15
26,15,15.5,1
12,11,8.5,4
9,18.5,24.25,13
12,12,8,5
13,16.5,21.25,9
12,12,15,5
23,15.5,8.75,3
13,20.5,14.25,13
7,19.5,17.75,15
25,17.5,11.75,4
18,17,16.5,7
17,22.5,22.25,13
21,19.5,18.75,8
19,23.5,26.75,13
21,25.5,16.75,14
22,22,20,10
9,13.5,20.75,8
24,27,20.5,14
10,14,17,8
19,11.5,15.75,1
3,3.5,3.75,1
17,13.5,12.75,4
13,21.5,18.75,14
25,14.5,12.25,1
20,18,11,7
14,17,16.5,9
29,27.5,19.75,12
17,22.5,24.25,13
19,23.5,22.75,13
20,24,27,13
19,16.5,12.25,6
11,19.5,20.75,13
16,10,20,1
16,20,18,11
20,26,16,15
15,23.5,26.75,15
20,21,11.5,10
13,14.5,21.25,7
15,10.5,15.25,2
7,15.5,16.75,11
14,10,11,2
11,20.5,14.25,14
14,13,12.5,5
5,13.5,9.75,10
12,11,6.5,4
8,10,12,5
16,15,8.5,6
20,23,12.5,12
16,16,21,7
11,8.5,14.25,2
20,14,12,3
